Gender,Genre of Book,Reading Hour,,,,
0,Romance,2.75,,,,
0,Romance,3.5,,,,
0,Romance,3.5,,,,
0,Mystery/Thriller,1.2,,,,
0,Romance,5.8,,,,
0,Self-Help/Personal Development,1.4,,,,
0,Mystery/Thriller,2.75,,,,
0,Romance,0.2,,,,
0,Romance,4.1,,,,
0,Sci-Fi/Fantasy,1.8,,,,
0,Self-Help/Personal Development,3.2,,,,
0,Mystery/Thriller,7.25,,,,
0,Mystery/Thriller,0.01,,,,
0,Romance,5,,,,
0,Essay/Journalism,2.15,,,,
0,Mystery/Thriller,3.9,,,,
0,Romance,9,,,,
0,Self-Help/Personal Development,0.8,,,,
0,Sci-Fi/Fantasy,3.5,,,,
0,Romance,3.6,,,,
0,Mystery/Thriller,1.45,,,,
0,Essay/Journalism,0.3,,,,
0,Romance,6.2,,,,
0,Self-Help/Personal Development,3,,,,
0,Essay/Journalism,1.75,,,,
0,Mystery/Thriller,4.85,,,,
0,Romance,2.4,,,,
0,Self-Help/Personal Development,0.5,,,,
0,Sci-Fi/Fantasy,8,,,,
0,Mystery/Thriller,3.1,,,,
0,Romance,5.5,,,,
0,Self-Help/Personal Development,0,,,,
0,Self-Help/Personal Development,2.9,,,,
1,Essay/Journalism,3,,,,
1,Self-Help/Personal Development,3.5,,,,
1,Sci-Fi/Fantasy,2,,,,
1,Mystery/Thriller,0.1,,,,
1,Essay/Journalism,3,,,,
1,Other,0.75,,,,
1,Mystery/Thriller,1,,,,
1,Biography/History,0.5,,,,
1,Sci-Fi/Fantasy,1.5,,,,
1,Biography/History,0,,,,
1,Biography/History,4.25,,,,
1,Self-Help/Personal Development,0.8,,,,
1,Essay/Journalism,2.1,,,,
1,Sci-Fi/Fantasy,5.5,,,,
1,Sci-Fi/Fantasy,0,,,,
1,Mystery/Thriller,1.2,,,,
1,Essay/Journalism,3,,,,
1,Self-Help/Personal Development,0.5,,,,
1,Sci-Fi/Fantasy,1.75,,,,
1,Self-Help/Personal Development,0,,,,
1,Biography/History,7.4,,,,
1,Self-Help/Personal Development,2.25,,,,
1,Romance,1.1,,,,
1,Mystery/Thriller,0,,,,
1,Essay/Journalism,3.65,,,,
1,Sci-Fi/Fantasy,1.3,,,,
1,Self-Help/Personal Development,0.75,,,,
1,Biography/History,0,,,,
1,Mystery/Thriller,4.8,,,,
1,Sci-Fi/Fantasy,0.6,,,,
1,Essay/Journalism,0.11,,,,
1,Biography/History,6.15,,,,
1,Sci-Fi/Fantasy,1.85,,,,
1,Essay/Journalism,0.4,,,,
1,Mystery/Thriller,1.5,,,,
